,ApplicantIncome,Loan_ID,Gender,Married
0,5720,LP001015,Male,Yes
1,3076,LP001022,Male,Yes
2,5000,LP001031,Male,Yes
3,2340,LP001035,Male,Yes
4,3276,LP001051,Male,No
5,2165,LP001054,Male,Yes
6,2226,LP001055,Female,No
7,3881,LP001056,Male,Yes
8,13633,LP001059,Male,Yes
9,2400,LP001067,Male,No
10,3091,LP001078,Male,No
11,2185,LP001082,Male,Yes
12,4166,LP001083,Male,No
13,12173,LP001094,Male,Yes
14,4666,LP001096,Female,No
15,5667,LP001099,Male,No
16,4583,LP001105,Male,Yes
17,3786,LP001107,Male,Yes
18,9226,LP001108,Male,Yes
19,1300,LP001115,Male,No
20,1888,LP001121,Male,Yes
21,2083,LP001124,Female,No
22,3909,LP001128,,No
23,3765,LP001135,Female,No
24,5400,LP001149,Male,Yes
25,0,LP001153,Male,No
26,4363,LP001163,Male,Yes
27,7500,LP001169,Male,Yes
28,3772,LP001174,Male,Yes
29,2942,LP001176,Male,No
30,2478,LP001177,Female,No
31,6250,LP001183,Male,Yes
32,3268,LP001185,Male,No
33,2783,LP001187,Male,Yes
34,2740,LP001190,Male,Yes
35,3150,LP001203,Male,No
36,7350,LP001208,Male,Yes
37,2267,LP001210,Male,Yes
38,5833,LP001211,Male,No
39,3643,LP001219,Male,No
40,5629,LP001220,Male,Yes
41,3644,LP001221,Female,No
42,1750,LP001226,Male,Yes
43,6500,LP001230,Male,No
44,3666,LP001231,Female,No
45,4260,LP001232,Male,Yes
46,4163,LP001237,Male,Yes
47,2356,LP001242,Male,No
48,6792,LP001268,Male,No
49,8000,LP001270,Male,Yes
50,2419,LP001284,Male,Yes
51,3500,LP001287,,Yes
52,3500,LP001291,Male,Yes
53,4116,LP001298,Male,Yes
54,5293,LP001312,Male,Yes
55,2750,LP001313,Male,No
56,4402,LP001317,Female,No
57,3613,LP001321,Male,Yes
58,2779,LP001323,Female,Yes
59,4720,LP001324,Male,Yes
60,2415,LP001332,Male,Yes
61,7016,LP001335,Male,Yes
62,4968,LP001338,Female,No
63,2101,LP001347,Female,No
64,4490,LP001348,Male,Yes
65,2917,LP001351,Male,Yes
66,4700,LP001352,Male,Yes
67,3445,LP001358,Male,Yes
68,7666,LP001359,Male,Yes
69,2458,LP001361,Male,Yes
70,3250,LP001366,Female,No
71,4463,LP001368,Male,No
72,4083,LP001375,Male,Yes
73,3900,LP001380,Male,Yes
74,4750,LP001386,Male,Yes
75,3583,LP001400,Male,No
76,3189,LP001407,Male,Yes
77,6356,LP001413,Male,No
78,3413,LP001415,Male,Yes
79,7950,LP001419,Female,Yes
80,3829,LP001420,Male,Yes
81,72529,LP001428,Male,Yes
82,4136,LP001445,Male,Yes
83,8449,LP001446,Male,Yes
84,4456,LP001450,Male,Yes
85,4635,LP001452,Male,Yes
86,3571,LP001455,Male,Yes
87,3066,LP001466,Male,No
88,3235,LP001471,Male,No
89,5058,LP001472,Female,No
90,3188,LP001475,Male,Yes
91,13518,LP001483,Male,Yes
92,4364,LP001486,Male,Yes
93,4766,LP001490,Male,Yes
94,4609,LP001496,Male,Yes
95,6260,LP001499,Female,Yes
96,3333,LP001500,Male,Yes
97,3500,LP001501,Male,Yes
98,9719,LP001517,Male,Yes
99,6835,LP001527,Male,Yes
100,4452,LP001534,Male,No
101,2262,LP001542,Female,Yes
102,3901,LP001547,Male,Yes
103,2687,LP001548,Male,Yes
104,2243,LP001558,Male,No
105,3417,LP001561,Female,Yes
106,1596,LP001563,,No
107,4513,LP001567,Male,Yes
108,4500,LP001568,Male,Yes
109,4523,LP001573,Male,Yes
110,4742,LP001584,Female,No
111,4082,LP001587,Male,Yes
112,3417,LP001589,Female,No
113,2922,LP001591,Female,Yes
114,4167,LP001599,Male,Yes
115,4243,LP001601,Male,No
116,0,LP001607,Female,No
117,1516,LP001611,Male,Yes
118,1762,LP001613,Female,No
119,724,LP001622,Male,Yes
120,3125,LP001627,Male,No
121,2333,LP001650,Male,Yes
122,3350,LP001651,Male,Yes
123,2500,LP001652,Male,No
124,12500,LP001655,Female,No
125,4667,LP001660,Male,No
126,6500,LP001662,Male,No
127,7500,LP001663,Male,Yes
128,3073,LP001667,Male,No
129,3321,LP001695,Male,Yes
130,3333,LP001703,Male,Yes
131,3391,LP001718,Male,No
132,3343,LP001728,Male,Yes
133,3620,LP001735,Female,No
134,4000,LP001737,Male,No
135,4258,LP001739,Male,Yes
136,4500,LP001742,Male,Yes
137,2014,LP001757,Male,Yes
138,3333,LP001769,,No
139,4083,LP001771,Female,No
140,4727,LP001785,Male,No
141,3089,LP001787,Male,Yes
142,6794,LP001789,Male,Yes
143,32000,LP001791,Male,Yes
144,10890,LP001794,Male,Yes
145,12941,LP001797,Female,No
146,3276,LP001815,Male,No
147,8703,LP001817,Male,No
148,4742,LP001818,Male,Yes
149,5900,LP001822,Male,No
150,3071,LP001827,Male,No
151,2783,LP001831,Male,Yes
152,5000,LP001842,Male,No
153,2463,LP001853,Male,Yes
154,4855,LP001855,Male,Yes
155,1599,LP001857,Male,No
156,4246,LP001862,Male,Yes
157,4333,LP001867,Male,Yes
158,5823,LP001878,Male,No
159,7895,LP001881,Male,Yes
160,4150,LP001886,Male,No
161,2964,LP001906,Male,No
162,5583,LP001909,Male,No
163,2708,LP001911,Female,No
164,3180,LP001921,Male,No
165,2268,LP001923,Male,No
166,1141,LP001933,Male,No
167,3042,LP001943,Male,Yes
168,1750,LP001950,Female,Yes
169,3564,LP001959,Female,Yes
170,3958,LP001961,Female,No
171,4483,LP001973,Male,Yes
172,5225,LP001975,Male,Yes
173,3017,LP001979,Male,No
174,2431,LP001995,Male,Yes
175,4912,LP001999,Male,Yes
176,2500,LP002007,Male,Yes
177,2918,LP002009,Female,No
178,5128,LP002016,Male,Yes
179,15312,LP002017,Male,Yes
180,3958,LP002018,Male,Yes
181,4334,LP002027,Male,Yes
182,4358,LP002028,Male,Yes
183,4000,LP002042,Female,Yes
184,10166,LP002045,Male,Yes
185,4483,LP002046,Male,Yes
186,4521,LP002047,Male,Yes
187,9167,LP002056,Male,Yes
188,13083,LP002057,Male,Yes
189,7874,LP002059,Male,Yes
190,4333,LP002062,Female,Yes
191,4083,LP002064,Male,No
192,3785,LP002069,Male,Yes
193,2654,LP002070,Male,Yes
194,10000,LP002077,Male,Yes
195,5833,LP002083,Male,No
196,4796,LP002090,Male,Yes
197,2000,LP002096,Male,Yes
198,2540,LP002099,Male,Yes
199,1900,LP002102,Male,Yes
200,8706,LP002105,Male,Yes
201,2855,LP002107,Male,Yes
202,3016,LP002111,Male,Yes
203,3159,LP002117,Female,Yes
204,1937,LP002118,Female,No
205,2613,LP002123,Male,Yes
206,4960,LP002125,Male,Yes
207,3074,LP002148,Male,Yes
208,4213,LP002152,Female,No
209,2038,LP002165,,No
210,2362,LP002167,Female,No
211,5333,LP002168,Male,No
212,5384,LP002172,Male,Yes
213,5708,LP002176,Male,No
214,3754,LP002183,Male,Yes
215,2914,LP002184,Male,Yes
216,2747,LP002186,Male,Yes
217,7830,LP002192,Male,Yes
218,3507,LP002195,Male,Yes
219,3747,LP002208,Male,Yes
220,2166,LP002212,Male,Yes
221,3500,LP002240,Male,Yes
222,2896,LP002245,Male,Yes
223,5062,LP002253,Female,No
224,5184,LP002256,Female,No
225,2545,LP002257,Female,No
226,2553,LP002264,Male,Yes
227,3436,LP002270,Male,Yes
228,2412,LP002279,Male,No
229,5180,LP002286,Male,Yes
230,14911,LP002294,Male,No
231,2860,LP002298,,No
232,1173,LP002306,Male,Yes
233,7600,LP002310,Female,No
234,2157,LP002311,Female,Yes
235,2231,LP002316,Male,No
236,2274,LP002321,Female,No
237,6166,LP002325,Male,Yes
238,2513,LP002326,Male,Yes
239,4333,LP002329,Male,No
240,3844,LP002333,Male,No
241,3887,LP002339,Male,Yes
242,3510,LP002344,Male,Yes
243,2539,LP002346,Male,Yes
244,2107,LP002354,Female,No
245,3186,LP002355,,Yes
246,5000,LP002358,Male,Yes
247,10000,LP002360,Male,Yes
248,3943,LP002375,Male,Yes
249,2925,LP002376,Male,No
250,3242,LP002383,Male,Yes
251,3863,LP002385,Male,Yes
252,4028,LP002389,Female,No
253,4010,LP002394,Male,Yes
254,3719,LP002397,Female,Yes
255,2858,LP002399,Male,No
256,3833,LP002400,Female,Yes
257,3333,LP002402,Male,Yes
258,3007,LP002412,Male,Yes
259,1850,LP002415,Female,No
260,2792,LP002417,Male,Yes
261,2982,LP002420,Male,Yes
262,3417,LP002425,Male,No
263,18840,LP002433,Male,Yes
264,2995,LP002440,Male,Yes
265,3579,LP002441,Male,No
266,3835,LP002442,Female,Yes
267,3854,LP002445,Female,No
268,5833,LP002450,Male,Yes
269,3508,LP002471,Male,No
270,1635,LP002476,Female,Yes
271,3333,LP002482,Female,No
272,24797,LP002485,Male,No
273,5667,LP002495,Male,Yes
274,3500,LP002496,Female,No
275,2773,LP002523,Male,Yes
276,6500,LP002542,Male,Yes
277,5769,LP002550,Female,No
278,3634,LP002551,Male,Yes
279,29167,LP002553,,No
280,2166,LP002554,Male,No
281,5000,LP002561,Male,Yes
282,5530,LP002566,Female,No
283,9000,LP002568,Male,No
284,10000,LP002570,Female,Yes
285,8750,LP002572,Male,Yes
286,2157,LP002581,Male,Yes
287,1972,LP002584,Male,No
288,4983,LP002592,Male,No
289,8333,LP002593,Male,Yes
290,3667,LP002599,Male,Yes
291,3166,LP002604,Male,Yes
292,3271,LP002605,Male,No
293,2241,LP002609,Female,Yes
294,1792,LP002610,Male,Yes
295,2666,LP002612,Female,Yes
296,6478,LP002614,,No
297,3808,LP002630,Male,No
298,3729,LP002635,Female,Yes
299,4120,LP002639,Male,Yes
300,7500,LP002644,Male,Yes
301,6300,LP002651,Male,Yes
302,14987,LP002654,Female,No
303,570,LP002657,,Yes
304,2600,LP002711,Male,Yes
305,2733,LP002712,Male,No
306,7500,LP002721,Male,Yes
307,3859,LP002735,Male,Yes
308,6825,LP002744,Male,Yes
309,3708,LP002745,Male,Yes
310,5314,LP002746,Male,No
311,2366,LP002747,Female,No
312,2066,LP002754,Male,No
313,5000,LP002759,Male,Yes
314,3767,LP002760,Female,No
315,7859,LP002766,Female,Yes
316,4283,LP002769,Female,Yes
317,1700,LP002774,Male,Yes
318,4768,LP002775,,No
319,3083,LP002781,Male,No
320,2667,LP002782,Male,Yes
321,1647,LP002786,Female,Yes
322,3400,LP002790,Male,Yes
323,16000,LP002791,Male,No
324,5333,LP002793,Male,Yes
325,2875,LP002802,Male,No
326,2600,LP002803,Male,Yes
327,5041,LP002805,Male,Yes
328,6958,LP002806,Male,Yes
329,3500,LP002816,Male,Yes
330,5509,LP002823,Male,Yes
331,9699,LP002825,Male,Yes
332,3621,LP002826,Female,Yes
333,4709,LP002843,Female,Yes
334,1516,LP002849,Male,Yes
335,2400,LP002850,Male,No
336,3015,LP002853,Female,No
337,2292,LP002856,Male,Yes
338,2360,LP002857,Male,Yes
339,4333,LP002858,Female,No
340,2623,LP002860,Male,Yes
341,3972,LP002867,Male,No
342,3522,LP002869,Male,Yes
343,4700,LP002870,Male,Yes
344,6858,LP002876,Male,No
345,8334,LP002878,Male,Yes
346,3391,LP002879,Male,Yes
347,2868,LP002885,Male,No
348,3418,LP002890,Male,Yes
349,2500,LP002891,Male,Yes
350,8667,LP002899,Male,Yes
351,2283,LP002901,Male,No
352,5817,LP002907,Male,Yes
353,5119,LP002920,Male,Yes
354,5316,LP002921,Male,Yes
355,7603,LP002932,Male,Yes
356,3791,LP002935,Male,Yes
357,2500,LP002952,Male,No
358,3132,LP002954,Male,Yes
359,4000,LP002962,Male,No
360,8550,LP002965,Female,Yes
361,2269,LP002969,Male,Yes
362,4009,LP002971,Male,Yes
363,4158,LP002975,Male,Yes
364,3250,LP002980,Male,No
365,5000,LP002986,Male,Yes
366,9200,LP002989,Male,No
